City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
616,Salcedo,PH,79.86,overcast clouds,12.8105,121.4674,Yamaji Freeman Farm
618,Bitung,ID,79.18,overcast clouds,1.4451,125.1824,K2 Lembeh
619,Sibolga,ID,77.11,scattered clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
623,Sao Jose Da Coroa Grande,BR,81.61,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
624,Maumere,ID,77.45,broken clouds,-8.6199,122.2111,Sylvia Hotel
626,Alta Floresta,BR,86.74,few clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
629,Olinda,BR,80.33,few clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
631,Porto Novo,BJ,85.82,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
633,Bhavnagar,IN,89.87,overcast clouds,21.7667,72.15,Hotel Relax Inn
634,Tukrah,LY,76.75,scattered clouds,32.5341,20.5791,Lokta restaurant
638,Edea,CM,80.33,light rain,3.8,10.1333,Micotel Hotel
639,Mahibadhoo,MV,84.11,overcast clouds,3.7833,72.9667,Omadhoo Inn
641,Carutapera,BR,84.79,overcast clouds,-1.195,-46.02,Lidera
645,Vallenar,CL,82.74,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
646,Gorontalo,ID,75.79,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
647,Bagula,IN,83.64,broken clouds,23.3167,88.65,রায় ভবন
654,Karimpur,IN,85.14,broken clouds,23.9667,88.6167,gabrudanga jumma masjid
656,Zhanaozen,KZ,82.17,broken clouds,43.3,52.8,K.korabay 28A
657,Lamu,KE,77.97,broken clouds,-2.2717,40.902,Lamu House
