City_ID,City,Country,Date,Lat,Lng,Humidity,Cloudiness,Wind Speed,Max Temp
271,Tamworth,GB,2021-05-29 00:41:15,52.634,-1.6959,76,100,2.13,57.61
272,Quelimane,MZ,2021-05-29 00:43:31,-17.8786,36.8883,95,0,4.16,60.87
273,Celestun,MX,2021-05-29 00:43:31,20.8667,-90.4,75,3,16.37,81.28
274,Havre,FR,2021-05-29 00:43:31,49.5833,0.3333,82,0,6.76,55.58
275,Oistins,BB,2021-05-29 00:43:31,13.0667,-59.5333,65,40,16.11,78.89
276,Mareeba,AU,2021-05-29 00:43:32,-17.0,145.4333,58,5,4.99,73.49
277,Port Elizabeth,ZA,2021-05-29 00:43:32,-33.918,25.5701,67,0,17.27,62.89
278,Westerland,DE,2021-05-29 00:42:02,54.9079,8.3033,87,90,9.22,48.22
279,Perelyub,RU,2021-05-29 00:43:32,51.8667,50.3667,78,95,4.72,65.84
280,Shache,CN,2021-05-29 00:43:33,38.4167,77.2406,22,0,6.78,75.25
281,Knysna,ZA,2021-05-29 00:43:33,-34.0363,23.0471,86,29,8.08,59.38
282,Tallahassee,US,2021-05-29 00:43:33,30.4383,-84.2807,69,40,3.0,82.24
283,Kutum,SD,2021-05-29 00:43:33,14.2,24.6667,11,0,9.8,78.04
284,Maple Creek,CA,2021-05-29 00:42:16,49.9168,-109.4848,25,36,21.85,62.65
285,Mount Gambier,AU,2021-05-29 00:43:34,-37.8333,140.7667,76,40,6.91,49.91
286,Ugoofaaru,MV,2021-05-29 00:40:31,5.6667,73.0,73,10,20.47,83.17
287,Bilma,NE,2021-05-29 00:43:34,18.6853,12.9164,10,35,4.72,84.92
288,Homer,US,2021-05-29 00:43:35,59.6425,-151.5483,63,90,3.44,55.29
289,Varkaus,FI,2021-05-29 00:43:35,62.3153,27.873,80,3,6.62,42.91
290,Fairbanks,US,2021-05-29 00:43:35,64.8378,-147.7164,41,40,14.97,48.2
291,Esperance,AU,2021-05-29 00:43:35,-33.8667,121.9,53,97,16.17,60.64
292,Kabalo,CD,2021-05-29 00:43:36,-6.05,26.9167,58,68,4.59,67.14
293,Tuatapere,NZ,2021-05-29 00:43:36,-46.1333,167.6833,89,100,9.19,49.82
294,Wajir,KE,2021-05-29 00:43:36,1.7471,40.0573,68,100,13.15,75.34
