City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
207,Saint George,US,37.1041,-113.5841,90.07,15,1,1.01,clear sky
208,Karratha,AU,-20.7377,116.8463,71.01,73,100,10.58,overcast clouds
209,Saldanha,ZA,-33.0117,17.9442,60.85,85,99,9.46,overcast clouds
210,Rafai,CF,4.95,23.9167,80.17,53,100,1.97,overcast clouds
211,Sitka,US,57.0531,-135.33,49.89,71,90,10.36,overcast clouds
212,Evensk,RU,61.95,159.2333,39.63,81,100,3.69,overcast clouds
213,Tautira,PF,-17.7333,-149.15,73.42,71,80,11.05,broken clouds
214,Carupano,VE,10.6678,-63.2585,85.19,59,2,14.7,clear sky
215,Kerema,PG,-7.9631,145.7785,76.69,86,100,4.97,overcast clouds
216,Yining,CN,29.0361,114.5636,67.06,88,100,2.37,light rain
217,Carndonagh,IE,55.25,-7.2667,59.77,77,99,5.41,overcast clouds
218,Bima,ID,-8.4667,118.7167,74.01,94,66,3.51,broken clouds
219,Fairbanks,US,64.8378,-147.7164,43.21,51,75,11.5,broken clouds
220,Malureni,RO,45.1,24.8,60.17,83,89,3.33,overcast clouds
221,Rorvik,NO,64.8621,11.2373,48.49,77,47,10.16,scattered clouds
222,Bengkulu,ID,-3.8004,102.2655,75.7,88,100,4.92,light rain
223,Constitucion,CL,-35.3333,-72.4167,58.01,61,100,10.96,overcast clouds
224,Northport,US,33.229,-87.5772,70.43,76,59,1.01,broken clouds
225,Constanta,RO,44.1833,28.65,72.28,67,93,9.31,overcast clouds
226,Hovd,MN,48.0056,91.6419,50.85,55,60,10.47,broken clouds
227,Kyabe,TD,9.4515,18.9449,97.21,24,80,2.66,broken clouds
228,Todos Santos,MX,23.45,-110.2167,94.3,48,76,7.23,broken clouds
229,Ilulissat,GL,69.2167,-51.1,62.62,20,75,13.8,broken clouds
230,Olafsvik,IS,64.8945,-23.7142,46.29,87,60,25.14,broken clouds
231,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,79,20,12.62,few clouds
232,Eyl,SO,7.9803,49.8164,81.5,76,88,21.43,overcast clouds
233,Campo Gobierno,MX,24.6536,-107.5411,90.72,46,6,8.01,clear sky
234,Tahe,CN,52.3333,124.7333,39.24,96,8,2.17,clear sky
235,Puerto Ayora,EC,-0.7393,-90.3518,77.56,84,55,8.01,broken clouds
236,Narsaq,GL,60.9167,-46.05,41.81,74,100,6.4,overcast clouds
237,Milledgeville,US,33.0801,-83.2321,84.22,62,75,13.8,broken clouds
238,Haines Junction,CA,60.7522,-137.5108,46.35,49,65,11.5,broken clouds
239,Port-Cartier,CA,50.0334,-66.8654,52.93,51,35,9.24,scattered clouds
240,Magadan,RU,59.5667,150.8,35.83,98,100,3.69,overcast clouds
241,Kayerkan,RU,69.3497,87.7602,26.04,98,98,4.16,overcast clouds
242,Ajaigarh,IN,24.9,80.2667,85.5,58,0,8.81,clear sky
243,Padang,ID,-0.9492,100.3543,78.44,76,100,3.87,overcast clouds
244,Bedele,ET,8.456,36.353,59.07,70,26,4.03,scattered clouds
245,Luderitz,NA,-26.6481,15.1594,63.72,64,54,19.35,broken clouds
246,Alice Springs,AU,-23.7,133.8833,40.55,70,2,5.7,clear sky
247,Kushima,JP,31.4583,131.2333,63.93,83,100,4.12,overcast clouds
248,Cherskiy,RU,68.75,161.3,48.0,52,34,11.65,scattered clouds
249,Smithers,CA,54.7804,-127.1743,46.72,66,75,0.0,broken clouds
250,Houston,US,29.7633,-95.3633,85.93,65,75,3.0,broken clouds
251,Manavalakurichi,IN,8.1333,77.3,78.89,83,40,15.23,scattered clouds
252,Lagoa,PT,39.05,-27.9833,63.43,71,67,5.75,broken clouds
253,Cidreira,BR,-30.1811,-50.2056,65.84,62,12,14.2,few clouds
254,Tymovskoye,RU,50.8456,142.655,44.19,92,100,2.19,overcast clouds
255,Ucluelet,CA,48.9329,-125.5528,58.08,87,94,1.01,overcast clouds
256,Antofagasta,CL,-23.65,-70.4,71.22,59,10,8.61,clear sky
257,Ponta Delgada,PT,37.7333,-25.6667,70.52,60,40,13.8,scattered clouds
258,Eirunepe,BR,-6.6603,-69.8736,94.71,42,24,1.63,few clouds
259,Lebu,CL,-37.6167,-73.65,53.17,70,100,3.85,overcast clouds
260,Seabra,BR,-12.4186,-41.7703,82.13,40,100,8.34,overcast clouds
261,Bull Savanna,JM,17.8868,-77.5902,81.41,67,9,11.16,light rain
262,Murshidabad,IN,24.1833,88.2667,84.13,71,67,11.23,broken clouds
263,Ajnala,IN,31.8425,74.7589,80.56,50,40,12.17,scattered clouds
264,Faya,SA,18.3851,42.4509,73.51,40,93,7.38,overcast clouds
265,Mattru,SL,7.6244,-11.8332,84.51,76,87,5.99,light rain
266,Vengerovo,RU,55.6848,76.7471,59.05,60,98,7.52,overcast clouds
267,Shushtar,IR,32.0455,48.8567,100.35,6,0,8.19,clear sky
268,Luwuk,ID,-0.9516,122.7875,77.56,90,89,4.09,overcast clouds
269,Hithadhoo,MV,-0.6,73.0833,83.75,71,66,16.37,broken clouds
270,Hobyo,SO,5.3505,48.5268,79.77,80,92,21.83,overcast clouds
271,Satipo,PE,-11.2522,-74.6386,86.43,47,20,2.71,few clouds
272,Boende,CD,-0.2167,20.8667,81.18,65,85,1.52,overcast clouds
273,Skjervoy,NO,70.0311,20.9714,44.46,81,38,30.22,scattered clouds
274,Helong,CN,42.5397,128.9972,44.4,94,31,5.48,scattered clouds
275,Aykhal,RU,66.0,111.5,50.36,61,25,7.14,scattered clouds
276,Foam Lake,CA,51.65,-103.5343,59.02,43,95,21.07,overcast clouds
277,Wasilla,US,61.5814,-149.4394,47.48,83,82,3.0,broken clouds
278,Atar,MR,20.5169,-13.0499,108.7,8,100,18.05,overcast clouds
279,Maldonado,UY,-34.6667,-54.9167,52.99,67,93,19.71,overcast clouds
280,Kasongo-Lunda,CD,-6.4667,16.8167,78.6,52,99,2.39,overcast clouds
281,Coquimbo,CL,-29.9533,-71.3436,62.33,67,0,7.16,clear sky
282,Sioux Lookout,CA,50.1001,-91.917,59.07,33,75,13.8,broken clouds
283,Bathsheba,BB,13.2167,-59.5167,86.61,54,40,16.69,scattered clouds
284,Cairns,AU,-16.9167,145.7667,69.75,79,90,10.36,overcast clouds
285,Kutum,SD,14.2,24.6667,89.08,10,76,7.0,broken clouds
286,Tomatlan,MX,19.9333,-105.25,92.26,26,100,6.51,overcast clouds
287,Saint-Francois,FR,46.4154,3.9054,74.64,38,0,9.22,clear sky
288,Naze,JP,28.3667,129.4833,66.63,87,100,6.73,overcast clouds
289,Bubaque,GW,11.2833,-15.8333,79.63,68,31,14.07,scattered clouds
290,Gedo,ET,9.0167,37.45,57.43,63,37,1.7,scattered clouds
291,Thinadhoo,MV,0.5333,72.9333,83.86,73,96,20.07,overcast clouds
292,Aldan,RU,58.6031,125.3894,45.81,67,26,5.35,scattered clouds
293,Aleysk,RU,52.4926,82.7822,51.1,66,6,8.46,clear sky
294,Cayenne,GF,4.9333,-52.3333,86.04,82,40,5.01,scattered clouds
295,Gao,ML,16.6362,1.637,106.59,4,45,17.85,scattered clouds
296,Buenos Aires,AR,-34.6132,-58.3772,55.78,42,0,9.22,clear sky
297,Udachnyy,RU,66.4167,112.4,52.14,60,6,7.2,clear sky
298,Caravelas,BR,-17.7125,-39.2481,82.67,63,81,8.81,broken clouds
299,Otjimbingwe,NA,-22.35,16.1333,73.74,20,27,5.77,scattered clouds
300,Baykit,RU,61.67,96.37,36.77,98,100,6.62,light rain
301,Mount Gambier,AU,-37.8333,140.7667,39.11,93,0,3.44,clear sky
302,Bethel,US,41.3712,-73.414,48.58,89,90,1.99,light rain
303,Vestmanna,FO,62.1564,-7.1664,50.92,93,90,6.82,overcast clouds
304,Acari,PE,-15.4311,-74.6158,76.32,54,68,7.72,broken clouds
305,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,86.88,44,83,7.85,broken clouds
306,Madang,PG,-5.2246,145.7966,78.84,87,97,3.42,overcast clouds
307,Praia Da Vitoria,PT,38.7333,-27.0667,70.05,68,40,8.52,scattered clouds
308,Baghdad,IQ,33.3406,44.4009,98.51,15,0,11.03,clear sky
309,Qidong,CN,31.8128,121.6561,75.04,87,100,8.08,light rain
310,Rawson,AR,-43.3002,-65.1023,48.34,39,0,27.42,clear sky
311,Vaitape,PF,-16.5167,-151.75,79.14,70,75,3.83,broken clouds
312,Praia,CV,14.9215,-23.5087,79.34,57,20,20.71,few clouds
